emotion ,language,song,youtubelink,spotifylink
happy,Telugu,Butta Bomma,https://www.youtube.com/watch?v=2mDCVzruYzQ,https://open.spotify.com/track/1gT9sc5997gi82JBxoUTYp
happy,Telugu,Ramuloo Ramulaa,https://www.youtube.com/watch?v=Bg8Yb9zGYyA,https://open.spotify.com/track/3qWfqpB8KJFxwvbpqbuLCh
happy,Telugu,Samajavaragamana,https://www.youtube.com/watch?v=tflQ33g6I8I,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
happy,Telugu,Jigelu Rani,https://www.youtube.com/watch?v=madsiEmiEZo,https://open.spotify.com/track/1leE0lg8KIbQAsAnGt9Izn
happy,Telugu,Seeti Maar,https://www.youtube.com/watch?v=F5X694sak5U,https://open.spotify.com/track/5VayHAvzwBx4i87c1twFjS
happy,Telugu,Naalo Chilipi Kala,https://www.youtube.com/watch?v=fFWL-UrjOkU,https://open.spotify.com/track/0v9u1rAlMAoFHFz6oCJ57U
happy,Telugu,Baitikochi Chuste,https://www.youtube.com/watch?v=UuiabjRSDs4,https://open.spotify.com/album/2FE6fh2rUcUWwgZdunF91h
happy,Telugu,Hoyna Hoyna,https://www.youtube.com/watch?v=aPjm_Dn3Oqc,https://open.spotify.com/track/7mNQwVYgoB3mtjkjCKsbXM
happy,Telugu,Inkem Inkem,https://www.youtube.com/watch?v=cC8AmhPUJPA,https://open.spotify.com/track/5CWQ9WBbd1HESogIIuTlVI
happy,Telugu,Chill Bro,https://www.youtube.com/watch?v=7mfDPq1aq30,https://open.spotify.com/track/7vF0Eq0RcxaYYXMyvh0lv6
happy,Telugu,Yentha Sakkagunnave,https://www.youtube.com/watch?v=fjOY6qBJqrY,
happy,Telugu,Whattey Beauty,https://www.youtube.com/watch?v=DK6oA4Elfbk,
happy,Telugu,Undiporaadhey,"	https://www.youtube.com/watch?v=lewVFlngGCk",
happy,Telugu,Gang Leader Title Song,https://www.youtube.com/watch?v=KUZ4e7t4u5k0,
happy,Telugu,Tharagathi Gadhi,https://www.youtube.com/watch?v=sCwe-rOhH-M,
happy,Telugu,Blockbuster,https://www.youtube.com/watch?v=FmjJ-e5uGuY,https://open.spotify.com/track/5DhtadiLR9EtuKUF5fRYmP
happy,Telugu,Manohari,https://www.youtube.com/watch?v=snpV6awcBPo,https://open.spotify.com/track/6oW5ENCxYzZ5ajxGZswCPp
sad,Telugu,Priyathama Priyathama,https://www.youtube.com/watch?v=BpINyS4k7Uw,https://open.spotify.com/track/4wHZiaLsuI9aQdWv4f3Esd
sad,Telugu,Kanulanu Thaake,https://www.youtube.com/watch?v=30Bjg_7KuoE,https://open.spotify.com/track/5ndf96aWXXUhFhRm4166id
sad,Telugu,Nuvvostanante Nenoddantana,https://www.youtube.com/watch?v=ZIT0ugfY64k,https://open.spotify.com/album/5I3dEH9cXdYmo8MVIdOkxO
sad,Telugu,Pillaa Raa,https://www.youtube.com/watch?v=Duf-Q5eANag,https://open.spotify.com/track/6Vq4ePrJPZ2vU6DXnZGcVD
sad,Telugu,Chali Chaliga,https://www.youtube.com/watch?v=j7qg42VQtlQ,https://open.spotify.com/track/3ZBrle8o5zema9Y7q3aX34
sad,Telugu,Ninu Choodani,https://www.youtube.com/watch?v=_mivRjz9t84,https://open.spotify.com/track/3d4yiR94YtYFYPkmIAAJqN
sad,Telugu,Gusa Gusa Lade,https://www.youtube.com/watch?v=CPTvFluGdHc,https://open.spotify.com/track/3Z8mfS2fQweEvT9QW9FFGx
sad,Telugu,Oh My Friend,https://www.youtube.com/watch?v=uK5LolHVZ0w,http.com/track/2dM6gB1xw3afy3iovxFcfk
sad,Telugu,Avunanavaa,https://www.youtube.com/watch?v=L70qHh3Vzdc,
sad,Telugu,Manasa,https://m.youtube.com/watch?v=JDjnoI4DBCg,
sad,Telugu,Naa Gundello,https://www.youtube.com/watch?v=mXd32LxPvvc,
sad,Telugu,O Manasa,https://www.youtube.com/watch?v=3Hd8KLOsx4o,
sad,Telugu,Anaganaga,https://www.youtube.com/watch?v=? ,
sad,Telugu,Emo Emo Emo,https://www.youtube.com/watch?v=? ,
sad,Telugu,Nee Kosam,https://www.youtube.com/watch?v=? ,
angry,Telugu,Dandalayya,https://www.youtube.com/watch?v=ufiWBv9h8dU,https://open.spotify.com/track/44XNmjMfjNsPEuipurqijt
angry,Telugu,Ma Ma Mahesha,https://www.youtube.com/watch?v=3kcadMVFolY,
angry,Telugu,Jai Balayya,https://www.youtube.com/watch?v=fP8gQlThTGU,
angry,Telugu,Mass Biriyani,https://www.youtube.com/watch?v=h4SwSQG74cI,
angry,Telugu,Dont Trouble the Trouble,https://www.youtube.com/watch?v=4L7RC5ns92k,
angry,Telugu,Naatu Naatu,https://www.youtube.com/watch?v=OsU0CGZoV8E,https://open.spotify.com/track/4iKGu3xtvm90eBw0EIPWJP
angry,Telugu,Singham Theme,https://www.youtube.com/watch?v=2O0Je2teKY4,
angry,Telugu,Power Star Title Song,https://www.youtube.com/watch?v=r4U5W9WWwJ4,
angry,Telugu,Aaluma Doluma (Telugu),https://www.youtube.com/watch?v=HN9AEHzaTkQ,
angry,Telugu,Theme of Arjun Reddy,https://www.youtube.com/watch?v=pnsvcySShhQ? ,
surprised,Telugu,Oo Antava,https://www.youtube.com/watch?v=EEqq0_Etuos,https://open.spotify.com/track/3szxldqiYs7nkvtmooRod8
surprised,Telugu,Bangaru Kodipetta,https://www.youtube.com/watch?v=hxvUiz6s4Gk,https://open.spotify.com/track/67gcwh0anfJkv0SFedZ0Dx
surprised,Telugu,Ringa Ringa,https://www.youtube.com/watch?v=2OhhFkF3MqQ,https://open.spotify.com/track/3APiIzLQYIitzR8F3oG1fV
surprised,Telugu,Top Lesi Poddi,https://www.youtube.com/watch?v=NYM6lbmkGfg,
surprised,Telugu,Private Party,https://www.youtube.com/watch?v=_WCQkPLiNro,
surprised,Telugu,Chill Bro,https://www.youtube.com/watch?v=7mfDPq1aq30,
surprised,Telugu,Hey Idi Nenena,https://www.youtube.com/watch?v=?,
surprised,Telugu,Aha Naa Pellanta,https://www.youtube.com/watch?v=?,
surprised,Telugu,Super Machi,https://www.youtube.com/watch?v=3-J0nMYAGlA,
surprised,Telugu,Mr. Perfect,https://www.youtube.com/watch?v=MJV9MXTsMpM,
surprised,Telugu,My Name is Billa,https://www.youtube.com/watch?v=peDsMnemnCg,
neutral,Telugu,Chiru Chiru Navvula,https://www.youtube.com/watch?v=BDKw1q2QsDg,
neutral,Telugu,Vellipomaakey,https://www.youtube.com/watch?v=Ug1nqD1Gz7Y,https://open.spotify.com/track/6KGhNDNqcjRZlRJ0xizRO2
neutral,Telugu,Mellaga Tellarindoi,https://www.youtube.com/watch?v=e5T1gbGJuAc,
neutral,Telugu,Manasu Maree,https://www.youtube.com/watch?v=Pal0uollc4E,https://open.spotify.com/track/??  
neutral,Telugu,Vintunnava,https://www.youtube.com/watch?v=Wbs6pPJgBnA,https://open.spotify.com/track/??  
neutral,Telugu,Ninnu Chudagane,https://www.youtube.com/watch?v=UmTBfr9Ov50,https://open.spotify.com/track/??  
neutral,Telugu,Hey Idi Nenena,https://www.youtube.com/watch?v=r4zHl1NfWD4,https://open.spotify.com/track/??  
neutral,Telugu,Em Sandeham Ledu,https://www.youtube.com/watch?v=DDb7OILQMMA,https://open.spotify.com/track/2TGaE4j7qjFkCgfPZizrPs
neutral,Telugu,Chinni Chinni Aasa,https://www.youtube.com/watch?v=WJtmZ4LUq8c,
happy,Hindi,Love You Zindagi,https://www.youtube.com/watch?v=LLuHV51ie8A,https://open.spotify.com/track/0tZMTCvEzXWz7AvjzIPf1H
happy,Hindi,Ye Tune Kya Kiya,https://www.youtube.com/watch?v=w9Qo6p4XsXE,
